,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",Adjusted Improvement (HYBRID)
dnn_n16,33,266,0.186514912,207,282,4.926484825,33,266,0.382496657,0.92893401,2.23255814,3.588335167,1,0,0
multiplier_n25,1680,1862,1.020103751,1503,902,24.22186485,1431,914,15.07870947,0.026134801,1.040221914,0.912111118,3.915322581,11.33932076,0.003873551
square_root_n18,2007,2722,1.234448812,2082,1312,28.97646467,1791,2439,2.115924046,0.824634656,0.708201893,0.658620763,3.538461538,7.775481221,0.088749918
rd53_130.qasm,903,1520,0.624858682,936,1191,0.97996862,903,1195,1.489508833,0.023381295,0.787346221,0.548634497,1.858744395,3.21923204,0
rd53_131.qasm,435,726,0.199314855,429,529,0.452499762,441,524,0.543488484,0.029411765,0.766283525,0.535138092,1.828282828,3.09623559,-0.00040568
SK_6_1 (grid_search_30_30),30,59,0.014795149,,,,30,58,0.030244137,0.787878788,1.034482759,0.964284928,1,0,0
SK_6_1 (grid_search_60_60),30,59,0.014248215,,,,30,58,0.038471767,0.787878788,1.034482759,0.964284928,1,0,0
SK_7_1 (grid_search_30_30),48,68,0.023830252,,,,48,68,0.043760312,0.888888889,1.2,1.116115713,1,0,0
SK_7_1 (grid_search_60_60),48,68,0.023679903,,,,48,68,0.04337309,0.888888889,1.2,1.116115713,1,0,0
SK_8_1 (grid_search_30_30),69,81,0.033804403,,,,69,85,0.056941874,0.779661017,1.365853659,1.283214287,1,0,0
SK_8_1 (grid_search_60_60),69,83,0.032144186,,,,69,85,0.056014495,0.779661017,1.365853659,1.283214287,1,0,0
SK_9_1 (grid_search_30_30),102,100,0.048099314,,,,102,102,0.15265697,0.794871795,1.531914894,1.441793561,1,0,0
SK_9_1 (grid_search_60_60),102,100,0.050878683,,,,105,110,0.130544858,0.789473684,1.531914894,1.441793561,1,0,-0.023219814
SK_11_1 (grid_search_60_60),156,166,0.080955293,,,,156,165,0.113738467,0.886956522,1.86440678,1.770355007,1,0,0
SK_12_1 (grid_search_30_30),264,206,0.14477864,,,,261,215,0.236911118,0.835820896,2.030769231,1.937240152,1,0,0.009497965
SK_12_1 (grid_search_60_60),243,237,0.137751645,,,,243,232,0.162679554,0.905109489,2.030769231,1.937240152,1,0,0
SK_13_1 (grid_search_30_30),246,235,0.123090957,,,,252,237,0.336625122,0.840764331,2.197183099,2.100434015,1,0,-0.020506447
SK_13_1 (grid_search_60_60),213,186,0.130499561,,,,213,191,0.160732483,0.936708861,2.197183099,2.100434015,1,0,0
SK_14_1 (grid_search_30_30),318,279,0.177959079,,,,315,258,0.213438643,0.930481283,2.363636364,2.267266166,1,0,0.008778125
SK_14_1 (grid_search_60_60),240,184,0.145140255,,,,243,181,0.191594475,0.946236559,2.363636364,2.267266166,1,0,-0.011827957
SK_15_1 (grid_search_30_30),381,309,0.334516276,,,,366,344,0.2718432,0.880952381,2.530120482,2.431407691,1,0,0.034683165
SK_16_1 (grid_search_30_30),336,297,0.17876954,,,,330,286,0.227265535,0.971193416,2.696629213,2.598203763,1,0,0.01734274
SK_17_1 (grid_search_60_60),414,341,0.250062139,,,,417,320,0.420606493,0.876811594,2.863157895,2.762952373,1,0,-0.006353707
SK_18_1 (grid_search_30_30),414,312,0.248590383,,,,405,315,0.414616285,0.989690722,3.02970297,2.929722879,1,0,0.021515016
SK_18_1 (grid_search_60_60),450,358,0.378733427,,,,447,389,0.324166011,0.977346278,3.02970297,2.929722879,1,0,0.006515642