,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.","In Layer Distance, mean","In Layer Distance, std."
0,1614,917,0.6956566509999993,1449,1045,5.236709934,0.46153846153846156,0.5370351477745302,1.6335403726708075,3.179299194222285,0.8433048433048433,6.32959443536372
1,456,316,0.43174421600000024,408,305,5.8704815759999995,0.6074766355140186,0.6076922694208919,2.046875,2.8252748068772,2.6728971962616823,10.59692752238426
2,1425,800,0.7126735279999998,1752,944,22.679833137,0.7349397590361446,0.7183929636252623,2.933333333333333,5.287931752795437,6.843373493975903,18.97481860861864
3,864,533,0.41591722700000133,924,633,4.347964437999998,0.48695652173913045,0.5495487064113029,1.4036697247706422,1.8078283695788313,0.8521739130434782,5.334454828525623
4,495,249,0.42825909799999806,498,268,4.873478206999998,0.813953488372093,0.7998783033451088,2.1594202898550723,2.9272492325958934,10.186046511627907,32.40388708663542
5,1833,969,1.0689595209999965,1482,1135,6.979529285999988,0.4587628865979381,0.5332747647367815,1.2824858757062148,1.8100093738476395,1.056701030927835,8.042854384021648
6,966,461,0.515278674000001,888,656,5.183026471000005,0.4909090909090909,0.5434812791867317,1.1962616822429906,1.3701712311059668,0.9636363636363636,6.549014183589735
7,1683,891,0.8498518469999965,1452,1254,1.9098773900000054,0.4597156398104265,0.5438478971670541,1.145077720207254,1.195713032952307,0.9146919431279621,6.011625567740588
8,1230,699,0.5462757479999993,1137,883,10.050233360999997,0.5231316725978647,0.6027801666292149,2.1027397260273974,4.099330804149197,2.604982206405694,14.273030714694118
9,801,415,0.3506107629999917,711,517,1.5203984259999999,0.4919786096256685,0.5604522997464771,1.2527472527472527,1.3554400493299645,1.4224598930481283,8.250628129855416
10,1593,872,1.459764444000001,1611,923,14.937434138,0.7116788321167883,0.6342494493529147,2.3333333333333335,3.611805488794889,3.9051094890510947,12.68390739243381
11,789,429,0.6238402619999874,729,527,1.3160663509999893,0.4942528735632184,0.5113327912536834,1.3132530120481927,1.241139302137437,0.3218390804597701,4.233132186931556
12,1389,739,0.9145581700000207,1341,870,13.918041931000005,0.540268456375839,0.6239535629648599,1.7515923566878981,2.9726053916923867,3.087248322147651,13.338108539374495
13,1674,823,1.1967520700000023,1716,947,26.686675347000005,0.7110266159695817,0.7603231822698249,2.9619565217391304,6.057125562927201,7.072243346007604,22.452453131481892
14,1464,718,0.9487822240000128,1470,976,21.106895065000003,0.6626984126984127,0.7024033715371011,2.3209876543209877,3.854857959605837,6.023809523809524,23.68810708422182
15,957,468,0.9048527509999928,915,505,12.22350809400001,0.7160493827160493,0.6980496268260334,2.4424778761061945,4.361817541714652,6.08641975308642,22.289175544220818
16,1623,776,1.3162044679999951,1503,853,15.313885707999987,0.6275862068965518,0.6426757383294756,3.283333333333333,6.756293362488044,3.6620689655172414,19.823608596528214
17,480,300,0.25230215900000985,456,318,1.3096809310000026,0.48299319727891155,0.5390056541371512,1.4,1.7020995438407405,0.47619047619047616,3.334693600002209
18,1134,651,1.0623847159999968,1164,772,10.758008436000011,0.5532786885245902,0.5947425984392576,1.962406015037594,3.175105267422159,1.819672131147541,8.46401872677844
19,276,194,0.4077589830000079,285,183,3.3276777339999626,0.5730337078651685,0.5381541579697999,2.5714285714285716,5.190257749881414,1.6404494382022472,10.870274063931028
20,1386,775,1.3260465559999943,1365,963,18.37465414899998,0.5666666666666667,0.6262764742685312,2.9520958083832336,6.308257475250538,3.046666666666667,13.541460613816941
21,1536,939,1.2506731039999863,1389,1076,9.502217696999992,0.49476439790575916,0.563946287952888,2.27807486631016,5.9595517664021616,1.3350785340314135,7.674515853147992
22,579,369,0.39998836400002347,540,362,14.021741752000025,0.6046511627906976,0.6753535353371939,2.207792207792208,3.615757944783355,4.945736434108527,14.879521371355011
23,582,425,0.376785233000021,495,478,0.8557735330000469,0.4105263157894737,0.4919293240230704,1.0,0.0,0.0,0.0
24,1041,504,1.0388722860000144,1143,657,21.966521580999995,0.7374301675977654,0.7791243397196287,3.854961832061069,8.24262069920178,8.871508379888269,37.24957685581248
25,654,432,0.8344425720000004,561,452,1.025272350000023,0.4876543209876543,0.5120481063553207,1.4285714285714286,1.6935981171931835,0.24691358024691357,3.132982108752968
26,576,368,0.6574850630000242,660,414,15.104932921999989,0.593103448275862,0.6378471519874133,2.4096385542168677,3.7897647337040357,4.372413793103449,15.386489742218528
27,1155,719,0.8213543429999959,1104,748,9.442518446000008,0.6188524590163934,0.625788940381491,2.5906040268456376,5.68054896536446,3.0163934426229506,12.706641871418332
28,1299,618,0.7574661350000156,1320,830,21.58587574400002,0.6842105263157895,0.6729848343444432,3.236842105263158,6.505803929149951,5.43859649122807,16.2750670830101
29,1959,1023,0.9331649309999648,1758,1282,4.776623055000016,0.46445497630331756,0.5173914352421832,1.4153846153846155,1.909965560373955,0.32701421800947866,3.812821981715489
30,1455,879,0.7653723569999897,1500,1013,12.895572780999998,0.5864197530864198,0.5998462943902931,2.632978723404255,5.347337541878327,2.7777777777777777,11.821198786110514
31,471,296,0.19899685699999736,384,337,1.5124142299999903,0.528,0.5875508488633132,1.9692307692307693,6.010168897586389,1.248,6.117065963352038
32,483,336,0.20963949599996567,414,317,3.0291443909999884,0.6727272727272727,0.6756692427658926,1.5694444444444444,2.2658478232274764,5.090909090909091,14.86089771823141
33,1566,841,0.8891035109999734,1554,846,17.002342712999962,0.7327935222672065,0.7095769751638896,2.111731843575419,3.211158411150087,6.267206477732794,19.13708953419924
34,1776,922,1.1554806180000128,1749,1031,14.83664567599999,0.5119363395225465,0.5785656059632106,1.875,2.86047053238915,2.1061007957559683,10.574449458384603
35,1560,909,0.9027513599999679,1533,1142,10.818191362999983,0.52,0.5936810110296125,1.8895027624309393,4.265880344298328,2.4857142857142858,15.065706428975764
36,513,380,0.24348569100004624,486,460,0.3356584880000355,0.40641711229946526,0.4911641712601083,1.0,0.0,0.0,0.0
37,720,439,0.3368845439999859,672,452,6.0344099210000195,0.6458333333333334,0.6817945071647321,2.7444444444444445,5.902092117039914,4.138888888888889,14.628079500622878
38,951,490,0.4593962819999433,819,653,1.0824336879999237,0.5,0.5185247578740112,1.5922330097087378,2.4153107629513864,0.25471698113207547,2.8202814015717057
39,720,449,0.2985518560000173,675,497,1.0412150299999894,0.5157894736842106,0.5203876671287695,1.2291666666666667,1.1408984641744224,0.4842105263157895,4.7124988519216515
40,1242,758,0.5995394330000181,1119,921,6.034840880000047,0.46394984326018807,0.5580289517255581,1.3877551020408163,2.0485567496048334,1.2539184952978057,7.363902596307371
41,519,311,0.24118213999997806,477,300,4.950906479999958,0.6341463414634146,0.6535493174133786,2.026666666666667,2.5454447330258203,4.357723577235772,16.57313433873537
42,486,275,0.2705799550000165,408,336,3.203941203999989,0.5615384615384615,0.6202213767784998,1.5774647887323943,2.377488151543977,3.292307692307692,13.09341945925871
43,1152,605,0.7541886710000654,1131,848,4.4855306919999975,0.4755244755244755,0.5650938140094244,1.3703703703703705,2.16278538083799,1.7412587412587412,9.78525598945714
44,396,293,0.23500251099994784,417,305,3.4677604959999826,0.6036036036036037,0.6192014514392642,3.03125,5.915997247928704,3.5495495495495497,12.971721661373925
45,1353,797,0.6346012289999408,1356,827,9.639217319999943,0.5518394648829431,0.6063942675135479,2.3067484662576687,5.208924960438502,2.802675585284281,11.486120439073801
46,1059,529,0.5345330710000553,885,564,8.600182381999957,0.6514285714285715,0.7318748638439023,2.3603603603603602,4.3553690440397865,7.142857142857143,21.541113987831153
47,396,246,0.16970502900005613,369,274,1.5785926600000266,0.5272727272727272,0.6136195283885891,2.3035714285714284,3.535128017772598,2.290909090909091,9.044682470475985
48,1566,872,0.8836184780000167,1617,1056,16.877563410999983,0.5746753246753247,0.6170795996046792,1.9314285714285715,3.0172619024133622,3.2012987012987013,12.36242729818806
49,1653,966,1.62054859400007,1497,1178,7.118513019999909,0.4560975609756098,0.5172859663374418,1.510752688172043,2.728265523513767,0.35609756097560974,3.8736161198730557
50,1713,968,1.0048085470000387,1398,1107,2.8576975860000857,0.4597156398104265,0.5216069907397444,1.2538860103626943,1.7786290136938376,0.44549763033175355,4.3551588534311785
51,774,439,0.5478478980001,747,400,9.344190550000008,0.816793893129771,0.7289177035774753,2.5283018867924527,3.4153028186131067,10.366412213740459,26.0273508832155
52,408,253,0.2731754420000243,357,236,1.8709769929999993,0.5471698113207547,0.6163201121155123,1.3035714285714286,0.9805181366637388,2.0943396226415096,8.43345572747601
53,993,492,0.5617037620000929,1143,661,8.482385894000004,0.6864864864864865,0.6810810810810811,2.88,6.810110131268068,4.691891891891892,15.001159925933987
54,1725,885,0.8922982960000354,1668,1039,19.17547222099995,0.6112852664576802,0.6279772299866205,2.243523316062176,4.167201322333171,3.322884012539185,13.121776265892008
55,702,467,0.37013720999993893,618,531,3.9385511169999745,0.45414847161572053,0.5559073740506281,1.2352941176470589,1.2380920694028938,1.3187772925764192,7.498974968568863
56,1449,854,0.7307511320000231,1329,1075,1.8832408459999215,0.4633431085043988,0.5102807830836589,1.6282051282051282,3.6041606098386016,0.25806451612903225,3.391074329796852
57,651,374,0.32388949699998193,600,476,1.940420480000057,0.5,0.5455447255899809,2.1927710843373496,5.228415944140923,1.2023809523809523,7.727932887390921
58,1539,832,0.9876428520000218,1506,1170,6.653257886000006,0.46808510638297873,0.5399394698063625,1.5542857142857143,2.3967052214169655,0.9840425531914894,6.957298375018875
59,1359,707,0.7438205720000042,1179,917,9.535169688999986,0.5539033457249071,0.6291210647228603,2.2448979591836733,3.706203361518982,3.6282527881040894,15.810544841150048
60,1809,909,0.8696436250000943,1689,959,12.189485709999985,0.5533707865168539,0.6088900268230297,2.4615384615384617,6.451579627069494,2.1853932584269664,9.392766169027203
61,717,419,0.35227885100005096,708,477,7.7102635909999435,0.6666666666666666,0.7035264706814485,2.697674418604651,5.05106428444785,5.393939393939394,18.609120269600282
62,813,493,0.3748401909999757,816,506,6.179601374000072,0.5538461538461539,0.5825875762695842,2.2735849056603774,5.101855043442577,1.6205128205128205,8.861301041453876
63,885,525,0.427286239999944,975,615,16.33228524399999,0.6941176470588235,0.7198615783895697,2.252173913043478,3.6399796422289525,6.458823529411765,17.687518325029938
64,555,313,0.3012055799999871,471,314,4.779974638999988,0.6036036036036037,0.6192014514392641,2.6515151515151514,4.672590690925318,2.2882882882882885,8.36917056756295
65,1185,677,0.5161667240000725,1095,854,7.085874535000016,0.46601941747572817,0.5482930377876342,1.7132867132867133,3.172483039840436,1.4627831715210355,9.22267186862631
66,963,514,0.3914649810000128,750,625,0.8382657080001081,0.42857142857142855,0.5032904931828249,1.05,0.49749371855331,0.058823529411764705,0.9055767246082735
67,714,347,0.47106312699997943,720,518,1.6640992039999674,0.4666666666666667,0.5416025603090641,1.3414634146341464,1.888472813077986,0.8777777777777778,6.004309152189094
68,393,253,0.21699508899996545,369,285,5.11597580199998,0.5233644859813084,0.5694035967001053,2.240740740740741,3.2825869720513023,2.0186915887850465,16.637971046105676
69,1332,694,0.7976443909999489,1206,785,7.747700803000043,0.6015625,0.5973881138704971,2.357615894039735,3.9135430854408235,2.7578125,15.795690716611405
70,1617,823,0.852168443000096,1572,1071,8.239318712,0.5254237288135594,0.5780133188128791,2.016304347826087,4.000646066681063,1.694915254237288,9.622104208518936
71,828,479,0.6650052669999695,858,582,10.58984158599992,0.6206896551724138,0.6987900760262374,2.2641509433962264,4.489614613019976,5.287356321839081,21.081073957886076
72,1704,941,1.0490132839998978,1584,858,20.455243393999922,0.7470817120622568,0.7447881460040816,2.442105263157895,4.132581172441069,7.128404669260701,20.011355010631704
73,492,274,0.29970571100000143,474,294,10.521674721000068,0.8842105263157894,0.7929048246427992,3.0,4.374841769290532,11.557894736842105,27.85855846554867
74,1446,753,0.8156717879999178,1398,929,12.427510231000042,0.6983471074380165,0.6523300223267539,2.4939759036144578,5.027331309532415,5.099173553719008,18.0017928210368
75,993,576,0.5960726970000678,915,709,3.7385918879999736,0.4541984732824427,0.5419444130793288,1.2118644067796611,1.5722794362587962,0.9694656488549618,6.701303201614223
76,1065,577,0.5380154230000471,1083,590,15.908739081000022,0.7757575757575758,0.7079763320090806,3.3412698412698414,6.510263811508689,6.824242424242424,18.811972820408176
77,729,502,0.4111555510000926,672,460,4.807198907000043,0.5755813953488372,0.5907102635538174,2.7216494845360826,5.110616134988105,2.686046511627907,11.907357143269516
78,900,571,0.4147093599999607,936,641,6.859543365000036,0.5581395348837209,0.6288537220895096,2.406779661016949,4.824438648535665,3.5069767441860464,17.242421933004024
79,1743,979,1.0368279299999585,1614,1081,6.444173191000004,0.5026041666666666,0.5496149121424069,2.0,4.068425166244714,1.1458333333333333,7.409142953510585
80,1245,741,0.683859243000029,1281,932,3.8091277839999975,0.46875,0.517468296130304,1.476510067114094,1.9715557602235005,0.38125,3.964485898259697
81,1146,602,0.6401810280000291,1065,681,10.519180712999969,0.6443298969072165,0.6828486530122235,2.2195121951219514,3.500375323350744,5.329896907216495,20.78918317545867
82,747,400,0.4183422520000022,714,396,3.4742588619999424,0.728,0.6115684753157246,2.8295454545454546,3.6995748862326026,4.144,13.7966395908569
83,237,156,0.10384768300002634,213,160,2.67985403900002,0.7692307692307693,0.7599439406294441,2.3333333333333335,3.210226714043037,7.661538461538462,21.87395847055575
84,1935,1017,0.9165556220000326,1578,1131,5.860415814000021,0.5431034482758621,0.5732380507796675,1.9193548387096775,3.377495351970764,1.7988505747126438,10.812657485429396
85,531,258,0.27626042099996084,576,327,12.267130647000045,0.8571428571428571,0.806177094107966,2.48,3.3599999999999994,11.758241758241759,26.000566629218948
86,1380,673,0.732394161000002,1494,975,9.989303016000008,0.5955056179775281,0.6485784130185085,2.5987261146496814,4.676625535863847,3.902621722846442,16.297959267117974
87,1101,603,0.7585980540000037,1365,717,18.50191886599987,0.8294117647058824,0.7516763273098749,3.427536231884058,8.08638834947607,9.188235294117646,27.68010290598308
88,507,387,0.2858400509999228,510,360,0.9545499230000587,0.5364238410596026,0.524560168167228,1.6625,2.8414070018214566,0.609271523178808,5.836597836390527
89,1062,558,0.5405534770000031,1080,628,12.85957224799995,0.7219251336898396,0.7072584221332808,3.196969696969697,5.98791635983796,6.117647058823529,17.640711871103242
90,843,487,0.6932162049999988,759,626,1.7170476579999558,0.45614035087719296,0.5403110033134909,1.0970873786407767,0.5831711618516975,1.0614035087719298,7.133790468693045
91,1509,826,0.7042653930000142,1344,999,8.599730434000094,0.4867021276595745,0.5787309820373722,1.510989010989011,2.5650632684804897,1.9840425531914894,13.164659357468736
92,1557,872,0.7996924219999073,1584,1050,12.747770214999946,0.5313432835820896,0.6069765923401986,1.9886363636363635,4.002823770851756,2.9492537313432834,17.181570942148976
93,918,537,0.4039790299998458,879,536,3.637351055999943,0.5431472081218274,0.5826739026307307,2.142857142857143,3.889983648952222,1.8375634517766497,12.486500737284949
94,1113,667,0.5953787769999508,1044,720,8.20833145100005,0.6342592592592593,0.6530075770981525,2.6194029850746268,4.966747300603363,4.518518518518518,16.45841081921646
95,723,437,0.6259406290000697,744,477,10.962638835000007,0.6196319018404908,0.6088165020886026,2.39,3.687533050699342,2.7116564417177913,12.44705298177233
96,954,487,0.610374481000008,918,586,11.276878193999892,0.6896551724137931,0.6748408893372735,2.0252100840336134,3.4966062414812358,4.597701149425287,16.254060338078812
97,1578,935,0.7377066060000743,1440,1026,15.555101055000023,0.5323529411764706,0.5907226821421637,2.122905027932961,5.158545597174764,2.0294117647058822,9.805716502355525
98,1047,541,0.7464925419999417,984,580,8.817760761000045,0.7543859649122807,0.7480352843974681,2.626984126984127,4.926014724220799,8.070175438596491,21.844634532625122
99,966,532,0.6268826349999017,864,542,7.760853040999791,0.6198830409356725,0.7103758895466767,1.819047619047619,2.555222299083277,7.964912280701754,36.9133479933753
