,[SABRE] SABRE CNOTs,[SABRE] SABRE Depth,[SABRE] SABRE Time,[SABRE] MPATH_IPS CNOTs,[SABRE] MPATH_IPS Depth,[SABRE] MPATH_IPS Time,[SABRE] MPATH_BSP CNOTs,[SABRE] MPATH_BSP Depth,[SABRE] MPATH_BSP Time
xor5_254.qasm,6,8,0.006223769,6,7,0.008344613,6,8,0.006333489
4_49_16.qasm,165,320,0.075013638,153,286,0.141613974,147,298,1.206528963
sys6-v0_111.qasm,189,257,0.08995139,237,254,1.091590216,159,242,2.230589313
rd53_130.qasm,852,1499,0.431657841,813,1269,1.740607878,789,1465,13.90646537
alu-v2_31.qasm,345,657,0.175237161,333,584,0.287496413,300,615,4.405086819
4gt5_77.qasm,99,203,0.069342758,90,165,0.11923779,90,179,0.949210355
radd_250.qasm,3045,4761,1.491803948,3252,3261,4.597002547,3096,4978,146.2612761
mod10_176.qasm,132,254,0.063600221,123,225,0.091410357,117,239,0.689330275
C17_204.qasm,375,671,0.18437558,363,565,1.147883053,333,645,5.681517253
0410184_169.qasm,165,239,0.08549846,165,214,0.38900952,165,244,1.144218288
con1_216.qasm,810,1292,0.379478038,855,1052,2.226106892,771,1330,10.89519549
rd53_311.qasm,285,363,0.134545715,288,290,1.92915042,267,321,3.097922003
4gt13_91.qasm,63,140,0.033315067,63,122,0.051900584,63,140,0.091119486
one-two-three-v0_98.qasm,102,205,0.050842239,96,184,0.124809511,93,192,0.351645657
4gt13_90.qasm,72,153,0.035815062,72,130,0.050739573,72,152,0.060801648
ex3_229.qasm,312,574,0.146877448,312,486,0.207957412,306,567,2.31216468
ham3_102.qasm,15,29,0.014200693,12,26,0.018248239,12,26,0.016454318
adr4_197.qasm,3363,5064,2.048882474,3537,3568,10.88126627,3261,4993,121.8819043
one-two-three-v1_99.qasm,105,200,0.060036397,111,182,0.071748485,105,188,0.077323228
mini-alu_167.qasm,219,412,0.13929186,219,377,0.250111392,195,395,2.094534463
alu-v2_30.qasm,396,743,0.206858308,366,637,0.257458808,360,686,4.951424675
4gt5_76.qasm,72,149,0.033110046,63,121,0.042373695,63,133,0.168381894
rd53_131.qasm,369,650,0.231080697,360,559,0.294402503,354,644,4.682146815
mini_alu_305.qasm,165,187,0.084109887,159,166,1.833227533,144,175,1.123663868
4mod7-v0_94.qasm,117,232,0.054398234,108,201,0.207120932,108,217,4.296381684
z4_268.qasm,2973,4479,1.485296759,2784,3628,6.986127179,2772,4562,74.22027418
cm82a_208.qasm,543,932,0.275600326,528,774,1.682517234,474,854,7.219281113
aj-e11_165.qasm,117,210,0.051029791,99,186,0.065787866,99,198,1.047957773
alu-v0_26.qasm,63,119,0.026967224,63,106,0.041203104,60,119,0.042951797
sym6_316.qasm,279,354,0.12890337,303,299,1.009245703,252,338,3.167161119
decod24-bdd_294.qasm,42,86,0.018411956,48,90,0.064725949,42,86,0.24834631
miller_11.qasm,36,72,0.014908779,33,68,0.022196919,30,65,0.014088765
rd32-v1_68.qasm,24,51,0.010727652,21,43,0.01615995,21,43,0.006664814
dc1_220.qasm,1674,2661,0.767504142,1737,2163,3.704675429,1677,2772,44.21581819
decod24-enable_126.qasm,261,501,0.132613585,255,443,0.180460517,231,462,2.399835447
one-two-three-v2_100.qasm,42,95,0.020950292,54,99,0.036607818,42,90,0.06310324
mod5adder_127.qasm,456,797,0.304500072,441,701,0.34227344,411,781,4.61802491
one-two-three-v3_101.qasm,42,94,0.039039504,57,106,0.043432706,42,94,0.037379459
4mod5-v0_20.qasm,12,26,0.00807452,12,26,0.022053983,12,25,0.01119135
mod8-10_177.qasm,351,643,0.19557316,330,566,0.578730433,324,622,3.92335637
ising_model_13.qasm,90,127,0.110675741,132,144,1.457500466,87,133,4.754737808
sf_276.qasm,615,1093,0.350129181,612,1016,0.893378973,555,1106,8.151637409
cm42a_207.qasm,1521,2530,0.810198294,1524,2037,3.484552794,1464,2549,28.17606294
4gt12-v1_89.qasm,174,330,0.084361219,174,293,0.119103187,165,316,1.310860801
alu-v0_27.qasm,30,56,0.013039808,27,52,0.018312011,27,52,0.014174663
pm1_249.qasm,1557,2522,0.753252663,1503,2141,3.28307112,1389,2429,29.35474553
mod5mils_65.qasm,21,48,0.012858426,21,46,0.016023161,21,48,0.007054928
mod10_171.qasm,189,337,0.090696326,174,290,0.352591665,174,339,1.305570873
ex1_226.qasm,6,8,0.003278633,6,7,0.004463373,6,8,0.003250524
ex-1_166.qasm,12,26,0.005519644,12,26,0.010031351,12,26,0.004375829
decod24-v1_41.qasm,66,127,0.03109184,54,109,0.038507722,57,114,0.154124339
4gt12-v0_88.qasm,156,273,0.070701282,153,256,0.094933051,138,260,0.96972621
rd53_138.qasm,111,174,0.052864681,102,135,0.636500669,87,125,0.749153288
4gt4-v0_79.qasm,171,339,0.083881062,168,295,0.182584895,159,320,1.668815523
alu-v3_34.qasm,39,73,0.019878974,39,70,0.025868123,39,72,0.014408677
qe_qft_5.qasm,9,74,0.012716947,21,79,0.035632351,9,74,0.025105248
3_17_13.qasm,21,49,0.011181872,18,44,0.01763687,18,43,0.015509125
decod24-v3_45.qasm,105,203,0.053687267,102,187,0.074693846,93,191,0.130890779
4gt4-v0_80.qasm,144,256,0.068031906,132,230,0.298300585,126,237,0.868223977
mod8-10_178.qasm,282,493,0.137800519,285,462,0.187913441,249,479,2.570707921
hwb4_49.qasm,177,342,0.143821669,153,295,0.138932945,156,315,1.092390634
4mod5-bdd_287.qasm,63,98,0.02583689,48,90,0.033041659,48,96,0.054708406
4gt11_84.qasm,12,24,0.006305215,12,21,0.009546625,12,21,0.005362182
decod24-v0_38.qasm,42,74,0.016787889,30,64,0.022538966,30,64,0.015163951
ising_model_10.qasm,0,70,0.030111359,0,70,0.051282016,0,70,0.024958707
4mod5-v0_19.qasm,27,53,0.011531976,24,47,0.015992822,21,44,0.014417448
4gt4-v1_74.qasm,207,384,0.098488576,213,356,0.140285757,198,374,2.542948698
4mod5-v1_22.qasm,15,28,0.006287217,12,25,0.009126617,12,25,0.007236429
4gt12-v0_87.qasm,201,355,0.245468282,189,307,0.237025171,168,333,1.532617291
alu-v1_29.qasm,24,51,0.010595601,21,46,0.016633416,21,46,0.012166328
4gt12-v0_86.qasm,204,356,0.094414096,201,315,0.204148393,171,340,1.494136163
alu-v1_28.qasm,33,58,0.013006066,27,49,0.018348804,24,46,0.014472112
4mod5-v1_23.qasm,51,106,0.023533539,48,96,0.032956005,51,104,0.0320557
sf_274.qasm,660,1186,0.31714029,636,975,0.692842112,624,1157,8.78579302
4mod5-v0_18.qasm,54,107,0.024093611,39,84,0.029798948,42,88,0.014580655
majority_239.qasm,555,939,0.257978668,456,743,0.488444447,444,865,6.749721559
hwb5_53.qasm,1140,2019,0.54723013,1080,1767,0.966616771,1026,1930,13.61535507
ham7_104.qasm,258,463,0.152448325,243,412,0.178240849,237,450,3.887733107
rd53_135.qasm,258,461,0.121823982,264,389,0.310866718,231,427,1.907819325
rd32_270.qasm,63,118,0.027910758,63,112,0.03799688,57,110,0.070366443
cm152a_212.qasm,951,1730,2.109374503,996,1509,1.361429602,927,1739,15.05228175
4gt10-v1_81.qasm,105,207,0.050987764,105,177,0.070145786,102,200,0.188002077
qft_10.qasm,96,165,0.057292136,171,201,0.362247649,108,167,1.500331716
rd32-v0_66.qasm,24,50,0.010206335,21,42,0.015642702,21,42,0.007403466
rd53_251.qasm,1149,1873,0.529508863,1047,1606,1.393339758,1011,1857,16.26183211
qe_qft_4.qasm,12,51,0.010801343,18,58,0.053322994,12,51,0.009571215
alu-v3_35.qasm,24,47,0.01138491,21,46,0.016242968,21,43,0.009383708
squar5_261.qasm,1848,2926,0.900817318,1872,2300,5.03280187,1707,2771,33.07699832
4gt4-v0_78.qasm,174,347,0.090759463,174,306,0.12706692,168,327,5.827063432
4gt13-v1_93.qasm,42,92,0.01998824,39,75,0.03059458,39,86,0.066541787
4gt4-v0_73.qasm,303,589,0.146092006,303,514,0.355075035,282,571,2.745629559
one-two-three-v0_97.qasm,225,421,0.317563071,219,367,0.147217222,207,404,1.700859654
rd84_142.qasm,372,409,0.562424643,321,289,5.200931565,288,318,5.470672448
4mod7-v1_96.qasm,120,225,0.073612368,117,210,0.33399922,108,215,0.649592479
ising_model_16.qasm,15,105,0.081878794,42,118,0.12974915,15,105,0.079890722
4mod5-v1_24.qasm,27,45,0.015397801,27,46,0.017960552,27,45,0.01908672
f2_232.qasm,1062,1749,0.602019737,1008,1389,1.330629606,930,1734,17.18107532
mod5d1_63.qasm,18,33,0.00823114,18,35,0.013604274,18,33,0.008145177
sym9_146.qasm,285,365,0.139048303,291,339,3.804613739,252,347,4.157843486
alu-v4_36.qasm,75,156,0.03822534,69,129,0.057796612,69,148,0.137184752
alu-bdd_288.qasm,66,116,0.029929303,66,112,0.041954273,66,119,0.04369689
4gt11_82.qasm,21,40,0.009969768,21,33,0.018193328,21,40,0.009042829
4gt5_75.qasm,57,116,0.030263562,57,101,0.039971608,57,114,0.119696399
graycode6_47.qasm,9,14,0.003798498,9,10,0.004726042,9,14,0.003151481
alu-v2_33.qasm,30,58,0.018444557,33,57,0.021488428,24,51,0.033411368
alu-v2_32.qasm,123,246,0.065031091,117,209,0.118809087,108,219,0.896359406
4gt11_83.qasm,15,30,0.007000745,15,28,0.013003495,15,30,0.010165247
qft_16.qasm,396,367,0.260408087,666,502,3.346918835,357,358,10.0808924
decod24-v2_43.qasm,36,73,0.017346032,27,62,0.024364438,30,66,0.017520916
cnt3-5_180.qasm,399,586,0.220234822,384,485,4.402038352,372,568,5.381973155
sqrt8_260.qasm,2832,4425,16.01140574,2991,3456,4.418000814,2709,4473,67.66042724
4gt13_92.qasm,45,94,0.022468164,45,80,0.030917124,45,89,0.145339688
cnt3-5_179.qasm,156,169,0.087504323,147,119,1.73373309,150,167,2.247512672
alu-v4_37.qasm,30,56,0.011432759,27,50,0.017927767,24,49,0.012241576
ex2_227.qasm,546,915,0.643464448,480,773,0.407123936,474,899,6.803443745
rd73_140.qasm,186,278,0.081742365,219,269,1.769989526,168,264,2.112791159
mod5d2_64.qasm,45,86,0.017374746,45,72,0.024769232,45,80,0.015578331
wim_266.qasm,915,1429,0.397076325,864,1126,2.67722869,882,1453,16.48584576
rd53_133.qasm,462,802,0.20936087,474,689,0.429989492,450,818,4.742404021
4gt4-v0_72.qasm,189,358,0.086878074,219,343,0.495649886,174,343,1.346084869
mean,346.675,572.125,0.323025474,347.7,472.8583333,0.813454097,323.375,561.8833333,6.818809699