,size,depth,"layer density, mean","layer density, std","child distance, mean","child distance, std",improvement
4_49_16.qasm,217,125,0.792,0.4947079946796899,2.984126984126984,3.5027973560011096,0.10714285714285714
rd53_130.qasm,1043,569,0.7873462214411248,0.5486344972651767,4.395642201834862,7.14387716926846,0.0
alu-v2_31.qasm,451,255,0.7764705882352941,0.4861163563181619,3.0706806282722514,3.131954721007552,0.02608695652173913
radd_250.qasm,3213,1781,0.7888826501965188,0.5478864891403444,7.412043795620438,39.72961444195138,-0.042826552462526764
mod10_176.qasm,178,101,0.7722772277227723,0.5050475542517564,3.061224489795918,3.20973114307551,0.023809523809523808
C17_204.qasm,467,253,0.8102766798418972,0.5584184351762643,4.060913705583756,6.48045442237441,0.0
0410184_169.qasm,211,104,1.0,0.6793662204867574,6.453551912568306,13.828250799388993,-0.06557377049180328
con1_216.qasm,954,508,0.8169291338582677,0.5646656202519553,5.11625,10.821632775949293,0.025179856115107913
rd53_311.qasm,275,124,1.0,0.6350006350009525,2.9098712446351933,4.246234027570601,0.0
ex3_229.qasm,403,226,0.7743362831858407,0.5043665546275776,3.7529761904761907,5.878354418210914,0.04424778761061947
adr4_197.qasm,3439,1839,0.8145731375747689,0.5710857217000208,7.301543739279588,39.60250153686096,0.013357079252003561
mini-alu_167.qasm,288,162,0.7777777777777778,0.5211573066470477,3.094650205761317,3.243748685715372,0.0136986301369863
alu-v2_30.qasm,504,285,0.7824561403508772,0.497404776046859,3.737819025522042,5.800906711646467,-0.020134228187919462
rd53_131.qasm,469,261,0.7662835249042146,0.5351380923193345,4.457142857142857,7.46272866379731,-0.056338028169014086
z4_268.qasm,3073,1644,0.8169099756690997,0.5772922692695561,5.767264402899657,18.22340097533624,0.03326612903225806
cm82a_208.qasm,650,337,0.8397626112759644,0.5643913793694358,4.3076923076923075,8.750123776446117,0.1834862385321101
sym6_316.qasm,270,135,0.9111111111111111,0.5769224438109852,2.7489177489177488,3.7087921917213547,0.06666666666666667
dc1_220.qasm,1914,1038,0.802504816955684,0.5504539092774611,6.587242026266416,29.257024297680324,0.05619834710743802
decod24-enable_126.qasm,338,190,0.7842105263157895,0.47101587624906055,3.5674740484429064,7.742600945297093,0.023255813953488372
mod5adder_127.qasm,555,302,0.7913907284768212,0.5142267901443082,3.6673866090712743,5.647449688718133,0.006896551724137931
mod8-10_177.qasm,440,251,0.7808764940239044,0.49276925889831863,3.566137566137566,5.347413596454995,-0.017094017094017096
sf_276.qasm,778,435,0.7724137931034483,0.5039361515779768,3.836671802773498,5.9500601712711525,0.04017857142857143
cm42a_207.qasm,1776,940,0.8202127659574469,0.5692622674995528,5.5650708024275115,21.15403595374996,0.017142857142857144
4gt12-v1_89.qasm,228,130,0.7692307692307693,0.5044183480232308,3.526315789473684,4.898640209310846,-0.03389830508474576
pm1_249.qasm,1776,940,0.8202127659574469,0.5692622674995528,5.5650708024275115,21.15403595374996,0.036608863198458574
mod10_171.qasm,244,139,0.7769784172661871,0.5095232002770007,3.0436893203883497,3.363573282071691,0.06451612903225806
4gt12-v0_88.qasm,194,108,0.7962962962962963,0.5047782655718152,3.2546583850931676,4.721142486091951,-0.038461538461538464
4gt4-v0_79.qasm,231,132,0.7954545454545454,0.5036027228672805,3.520408163265306,5.346617454124587,0.034482758620689655
4gt4-v0_80.qasm,179,101,0.7821782178217822,0.49958320045714316,3.4093959731543624,4.973774744157739,0.037037037037037035
mod8-10_178.qasm,342,193,0.7875647668393783,0.510461314476697,3.7054794520547945,5.669152056886315,-0.02040816326530612
hwb4_49.qasm,233,134,0.7985074626865671,0.4853041936683316,2.916256157635468,3.3744741277444645,0.13793103448275862
4gt4-v1_74.qasm,273,154,0.7727272727272727,0.4904639636566674,3.5657894736842106,5.603888514415187,0.0
4gt12-v0_87.qasm,247,131,0.8549618320610687,0.567869157660986,3.5,6.133630945160344,0.029850746268656716
4gt12-v0_86.qasm,251,135,0.8592592592592593,0.5599333685619039,3.447004608294931,6.046532522343494,-0.014705882352941176
sf_274.qasm,781,436,0.7706422018348624,0.5181659173006583,3.825617283950617,5.913378683837751,0.025510204081632654
majority_239.qasm,612,344,0.7761627906976745,0.5331033945803967,4.30873786407767,6.972889342708206,-0.1069182389937107
hwb5_53.qasm,1336,758,0.7889182058047494,0.4794275843264963,3.7517123287671232,6.206492166524958,0.035422343324250684
ham7_104.qasm,320,185,0.8054054054054054,0.49316733958733155,3.580071174377224,7.391070980855516,0.04597701149425287
rd53_135.qasm,296,159,0.8427672955974843,0.5555278660873858,3.8588235294117648,6.44461095649868,0.012048192771084338
cm152a_212.qasm,1221,684,0.7777777777777778,0.5410383970741005,4.627431906614786,8.298674734818366,-0.12103746397694524
rd53_251.qasm,1291,712,0.7921348314606742,0.531634054907444,4.789569990850869,13.01922011857037,0.0748663101604278
squar5_261.qasm,1993,1049,0.8284080076263107,0.5567108922183257,5.9742976688583385,18.46736503426742,-0.09531502423263329
4gt4-v0_78.qasm,235,137,0.7956204379562044,0.5001997576353815,3.7438423645320196,5.944190276573973,0.0
4gt4-v0_73.qasm,395,227,0.788546255506608,0.504823518970107,3.6637426900584797,5.995692998334957,0.0297029702970297
one-two-three-v0_97.qasm,290,163,0.7852760736196319,0.5165046669901641,3.1538461538461537,3.5927016923223074,0.0273972602739726
rd84_142.qasm,343,110,1.4,0.9165151389911678,2.297202797202797,2.6309998114451365,-0.058823529411764705
f2_232.qasm,1206,668,0.7859281437125748,0.5338647428880741,4.985192497532083,15.16759866449692,0.058823529411764705
sym9_146.qasm,328,127,1.1653543307086613,0.6846319722609184,2.252707581227437,2.1023542496509853,0.0
qft_16.qasm,512,105,2.2857142857142856,1.2999215046945516,1.816860465116279,0.7987312055188223,-0.8429752066115702
cnt3-5_180.qasm,485,209,1.0287081339712918,0.7182772824801992,2.7054455445544554,2.7637809604832384,-0.03937007874015748
sqrt8_260.qasm,3009,1659,0.7920433996383364,0.5474776249072619,6.991001564945227,20.809091934406528,-0.03177966101694915
ex2_227.qasm,631,355,0.7746478873239436,0.514499157490969,4.3007518796992485,7.259668132192004,0.0
wim_266.qasm,986,514,0.830739299610895,0.5856160397761396,4.736009732360097,13.985729349601135,-0.05263157894736842
rd53_133.qasm,580,327,0.7828746177370031,0.5462804386142903,4.3428571428571425,7.037276838815028,-0.020134228187919462
4gt4-v0_72.qasm,258,137,0.8248175182481752,0.5523382310187624,3.364485981308411,5.055565127112534,0.015151515151515152
