,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
xor5_254.qasm,9,6,11,11,0.003155697,0.01078594
4_49_16.qasm,270,165,388,307,0.049935662,0.584204183
sys6-v0_111.qasm,261,216,281,236,0.22787721,4.005862571
rd53_130.qasm,1155,822,1689,1408,0.240441005,8.662493385
alu-v2_31.qasm,420,348,685,633,0.104759536,2.061312507
4gt5_77.qasm,117,96,196,182,0.035976458,0.670155291
radd_250.qasm,4524,3216,5673,4880,1.039614844,63.75287425
mod10_176.qasm,165,126,284,239,0.035479663,0.412012495
C17_204.qasm,543,363,775,635,0.118737487,3.133349004
0410184_169.qasm,423,213,376,261,0.084320551,0.7488097
con1_216.qasm,1152,855,1566,1338,0.250029676,10.35016969
rd53_311.qasm,378,255,431,328,0.088690226,3.164942493
4gt13_91.qasm,81,63,155,134,0.018693466,0.160152518
one-two-three-v0_98.qasm,141,108,211,194,0.03277908,0.495632754
4gt13_90.qasm,102,72,179,143,0.022079345,0.203379618
ex3_229.qasm,357,315,617,554,0.084028948,1.672814763
ham3_102.qasm,15,12,29,26,0.009505984,0.041058458
adr4_197.qasm,5085,3582,6014,5133,1.214103982,74.58785801
one-two-three-v1_99.qasm,141,111,216,192,0.028812654,0.248096709
mini-alu_167.qasm,315,219,482,407,0.066164896,0.797924134
alu-v2_30.qasm,516,396,833,695,0.135845022,6.882966378
4gt5_76.qasm,105,60,155,123,0.022085958,0.129791148
rd53_131.qasm,477,357,734,637,0.11226733,2.761396361
mini_alu_305.qasm,171,183,236,228,0.036970563,2.334582566
4mod7-v0_94.qasm,150,105,256,211,0.030228311,0.452366654
z4_268.qasm,3621,2808,5025,4416,0.782728507,57.77873445
cm82a_208.qasm,666,504,985,818,0.22067198,6.037515937
aj-e11_165.qasm,129,99,229,199,0.030218669,0.257909258
misex1_241.qasm,5994,4509,8082,7211,1.34533122,132.0218611
alu-v0_26.qasm,81,63,123,115,0.018624664,0.120044762
sym6_316.qasm,378,261,427,329,0.09945043,1.905621432
decod24-bdd_294.qasm,57,45,103,86,0.014556998,0.309134199
miller_11.qasm,42,33,80,68,0.009303848,0.060820688
rd32-v1_68.qasm,24,21,49,46,0.006436406,0.046155837
dc1_220.qasm,2370,1854,3190,2707,0.655623076,22.40208172
decod24-enable_126.qasm,318,261,538,472,0.071617702,1.395386955
one-two-three-v2_100.qasm,63,45,99,89,0.012358496,0.075386199
mod5adder_127.qasm,648,438,944,750,0.13877293,3.035638962
one-two-three-v3_101.qasm,78,45,121,91,0.016440782,0.088662981
4mod5-v0_20.qasm,18,15,30,26,0.004253735,0.020386208
mod8-10_177.qasm,447,357,735,643,0.197676685,5.832188442
ising_model_13.qasm,87,93,132,134,0.05458919,2.399452378
sf_276.qasm,753,564,1228,1047,0.191927613,5.925748634
cm42a_207.qasm,2070,1503,2891,2390,0.50535824,21.46161364
4gt12-v1_89.qasm,249,186,369,332,0.054483353,0.672904307
alu-v0_27.qasm,24,21,49,45,0.005389388,0.037725517
pm1_249.qasm,2169,1503,2931,2390,0.472555536,23.73653122
mod5mils_65.qasm,27,27,47,48,0.005937338,0.04407439
mod10_171.qasm,231,174,386,327,0.054021381,0.91081548
ex1_226.qasm,12,6,14,11,0.002165084,0.005775661
ex-1_166.qasm,12,12,26,26,0.003014122,0.018987843
decod24-v1_41.qasm,72,54,129,113,0.017733451,0.123225061
4gt12-v0_88.qasm,216,162,323,283,0.048461006,0.610140147
rd53_138.qasm,150,108,216,157,0.033426796,1.104333244
4gt4-v0_79.qasm,219,165,358,310,0.04980104,0.722628795
alu-v3_34.qasm,57,39,94,70,0.012015341,0.057850851
qe_qft_5.qasm,3,3,54,54,0.00595853,0.054833064
3_17_13.qasm,24,18,51,44,0.005676722,0.037883371
decod24-v3_45.qasm,126,102,217,200,0.029104586,0.459345941
4gt4-v0_80.qasm,201,147,299,245,0.044711483,0.991939061
mod8-10_178.qasm,363,282,531,473,0.085217351,1.461039385
hwb4_49.qasm,222,159,374,316,0.094467581,0.865413962
4mod5-bdd_287.qasm,66,45,122,92,0.016565743,0.085165743
4gt11_84.qasm,12,9,25,21,0.003010059,0.017469957
decod24-v0_38.qasm,42,30,82,65,0.009058329,0.056056433
ising_model_10.qasm,99,90,156,132,0.050275935,1.598637493
4mod5-v0_19.qasm,33,27,55,48,0.006431958,0.034670529
4gt4-v1_74.qasm,285,201,441,376,0.066329393,0.882535414
4mod5-v1_22.qasm,21,12,33,26,0.004096095,0.02166086
4gt12-v0_87.qasm,216,162,369,299,0.051296435,0.704967419
alu-v1_29.qasm,27,21,52,46,0.006222112,0.034185837
4gt12-v0_86.qasm,279,168,416,308,0.066934333,0.885854056
alu-v1_28.qasm,27,21,52,45,0.008199479,0.039880089
4mod5-v1_23.qasm,72,54,112,99,0.013869701,0.10785409
sf_274.qasm,798,573,1278,1043,0.187987223,4.642844058
4mod5-v0_18.qasm,66,45,115,91,0.023349572,0.12578005
majority_239.qasm,636,450,979,824,0.153983506,4.048798468
hwb5_53.qasm,1443,1074,2243,1874,0.346271507,14.25677228
ham7_104.qasm,330,249,523,459,0.073216306,1.317789828
rd53_135.qasm,351,240,498,402,0.083821311,1.628844569
rd32_270.qasm,96,60,138,113,0.019212503,0.131553046
cm152a_212.qasm,1320,996,1971,1690,0.333922576,13.80380184
4gt10-v1_81.qasm,147,105,237,195,0.033916211,0.287404329
qft_10.qasm,201,177,185,210,0.05156002,1.390385747
rd32-v0_66.qasm,21,21,47,45,0.006093073,0.038198925
rd53_251.qasm,1593,1047,2150,1777,0.514244003,13.85395019
qe_qft_4.qasm,12,9,45,42,0.005296049,0.034377948
alu-v3_35.qasm,36,21,55,45,0.006882782,0.037502248
squar5_261.qasm,2640,1923,3392,2831,0.58595758,29.07069838
4gt4-v0_78.qasm,237,183,375,327,0.053125612,0.727793595
4gt13-v1_93.qasm,63,39,105,84,0.01303141,0.07457598
4gt4-v0_73.qasm,360,294,605,550,0.092453171,1.604453138
one-two-three-v0_97.qasm,372,219,531,400,0.084986671,0.995497927
rd73_252.qasm,7836,5421,9325,8002,1.750968213,165.1236558
rd84_142.qasm,402,369,465,369,0.098060077,14.51511363
4mod7-v1_96.qasm,156,126,245,231,0.03533951,1.371297479
ising_model_16.qasm,120,120,160,136,0.068232675,3.04542127
4mod5-v1_24.qasm,36,21,64,45,0.007227165,0.036660999
f2_232.qasm,1404,1029,1968,1724,0.326235946,11.76430464
mod5d1_63.qasm,18,18,31,34,0.004373127,0.469583584
sym9_146.qasm,369,294,444,369,0.098122555,4.255455587
alu-v4_36.qasm,99,69,175,145,0.023423859,0.172669508
alu-bdd_288.qasm,69,66,121,120,0.016264713,0.145832905
4gt11_82.qasm,39,21,49,40,0.006576652,0.028967325
4gt5_75.qasm,66,57,121,112,0.016590159,0.116514958
graycode6_47.qasm,3,3,8,8,0.001319086,0.006414176
alu-v2_33.qasm,27,24,53,49,0.00654626,0.038140421
alu-v2_32.qasm,174,111,274,206,0.039445525,0.358038611
4gt11_83.qasm,21,15,34,30,0.004502208,0.02127586
qft_16.qasm,627,627,498,446,0.180744646,7.746065362
decod24-v2_43.qasm,42,30,77,66,0.009464948,0.059500651
cnt3-5_180.qasm,573,411,659,545,0.137417639,5.232743207
sqrt8_260.qasm,4560,2964,5287,4521,1.158506231,57.99977089
qelib1.inc,0,0,0,0,0.002891878,0.000463759
4gt13_92.qasm,66,45,102,86,0.013496628,0.079056621
cnt3-5_179.qasm,177,177,183,194,0.051382965,2.142447748
alu-v4_37.qasm,27,21,52,45,0.006549535,0.039300351
ex2_227.qasm,732,492,1073,889,0.176158717,4.621918529
rd73_140.qasm,234,204,321,269,0.056827321,3.496239442
mod5d2_64.qasm,60,45,96,75,0.011820163,0.071342153
wim_266.qasm,1197,795,1603,1316,0.281364672,10.07525026
sym6_145.qasm,4560,3060,6609,5476,1.161179783,104.5595321
rd53_133.qasm,603,444,902,784,0.146513423,3.911228972
4gt4-v0_72.qasm,237,201,374,334,0.076851976,1.489315344