,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,A* CNOTs,A* Depth,A* Time,A* Memory
vqe_n8(3).qasm,5488,501,7671,0.919617443,549,7737,37.72558149,504,7708,0.09483775,0
vqe_n8(1).qasm,5488,450,7617,1.133447258,351,7506,34.14868814,702,7834,0.099211712,0
vqe_n8(5).qasm,5488,453,7653,1.149394372,948,8174,47.65963675,504,7706,0.095331784,0
vqe_n8(0).qasm,5488,423,7578,1.116363798,417,7575,41.79161217,537,7698,0.090906845,0
vqe_n8(2).qasm,5488,516,7695,1.224275055,165,7315,12.35188112,516,7695,0.08600239,0
vqe_n8(4).qasm,5488,543,7715,1.224183668,186,7329,15.79151354,486,7676,0.088599447,0
vqe_n5(2).qasm,352,6,532,0.067902785,6,532,0.418037423,6,532,0.010144844,0
vqe_n6(3).qasm,1052,33,1503,0.168616074,30,1506,1.557196364,30,1506,0.02016593,0
vqe_n6(1).qasm,1052,66,1564,0.176548941,66,1555,3.208184744,66,1562,0.020493404,0
vqe_n5(0).qasm,352,6,526,0.067258283,6,526,0.285306493,6,526,0.010214823,0
vqe_n4(4).qasm,88,0,145,0.016749979,0,145,0.018200679,0,145,0.007158042,0
vqe_n7(5).qasm,2576,84,3530,0.517128809,90,3545,4.316786232,204,3674,0.043785113,0
vqe_n7(1).qasm,2576,201,3647,0.560701139,180,3641,4.631338706,183,3643,0.048975729,0
vqe_n4(0).qasm,88,0,145,0.019336485,0,145,0.017907788,0,145,0.007182761,0
vqe_n5(4).qasm,352,6,526,0.05896218,6,526,0.284538369,6,526,0.01047226,0
vqe_n6(5).qasm,1052,27,1491,0.1667908,24,1494,1.537804114,24,1494,0.020437754,0
vqe_n4(2).qasm,88,0,145,0.017191419,0,145,0.017570291,0,145,0.007349213,0
vqe_n7(3).qasm,2576,237,3704,0.436880373,75,3549,3.88132306,264,3764,0.044623249,0
vqe_n6(0).qasm,1052,33,1503,0.178208579,30,1506,1.592779669,33,1503,0.020570739,0
vqe_n5(1).qasm,352,6,532,0.059203092,6,532,0.42496894,6,532,0.010122542,0
vqe_n4(5).qasm,88,0,145,0.015706911,0,145,0.016860608,0,145,0.007546876,0
vqe_n7(4).qasm,2576,252,3735,0.561083845,123,3598,6.965737475,126,3609,0.044701449,0
vqe_n5(3).qasm,352,6,526,0.061733203,6,526,0.22103696,6,526,0.010252006,0
vqe_n6(2).qasm,1052,30,1494,0.237978547,27,1491,1.434439965,30,1491,0.021089136,0
vqe_n4(3).qasm,88,0,145,0.016978055,0,145,0.016803628,0,145,0.007575662,0
vqe_n7(2).qasm,2576,147,3606,0.519352333,135,3602,7.226566241,267,3748,0.048115596,0
vqe_n7(0).qasm,2576,480,3965,0.525186478,450,3939,23.92234546,207,3722,0.043885719,0
vqe_n4(1).qasm,88,0,145,0.019463282,0,145,0.020658635,0,145,0.006702652,0
vqe_n5(5).qasm,352,6,532,0.061759763,6,532,0.426399877,6,532,0.010633725,0
vqe_n6(4).qasm,1052,72,1567,0.180371401,66,1554,3.995968045,66,1548,0.020369866,0